paragraph,TR_entailment,label,error (temporal/events),readability (1-4),relevance (1-4),event type (implicit/explicit),relevant/irrelevant context paragraph,NOTES
"plaintiff became disabled under the terms of the plans policy on or about april 7, 2018 and continues to be disabled as defined by the plan. accordingly, plaintiff is entitled to benefits under the terms of the plan. however, on 2 [a]n entity that is both the claims administrator and payor of benefits has a conflict of interest. jones v. mountaire corp. long term disability plan, 542 f. 3d 234, 240 (8th cir. 2008). moreover, as the supreme court has held, that conflict must be weighed as a factor in determining whether there is an abuse of discretion. metro. life ins. co. v. glenn, 128 s. ct. 2343, 2348 (2008) (emphasis added). case 0:22-cv-01911-pjs-jfd doc. 1 filed 08/01/22 page 3 of 7 4 april 10, 2021 metropolitan life insurance company cancelled plaintiffs disability benefits. plaintiff appealed metropolitan life insurance companys decision, but metropolitan life insurance company denied plaintiffs appeal on february 9, metropolitan life insurance companys decision to deny disability benefits was arbitrary, capricious, unreasonable, irrational, wrongful, contrary to the terms of the plan, contrary to the evidence and contrary to law, as demonstrated by the following non-exhaustive examples: a. metropolitan life insurance company failed to have plaintiff independently examined, and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician; b. metropolitan life insurance company relied on the opinion of a medical professional who was financially biased by his/her relationship with metropolitan life insurance company and as such unable to offer an unbiased opinion; case 0:22-cv-01911-pjs-jfd doc. 1 filed 08/01/22 page 4 of 7 5 c. metropolitan life insurance company relied on the opinion of a medical professional that was not supported by substantial evidence in the claim file, and was inconsistent with the overall evidence in the record; d. metropolitan life insurance company relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physician; e. metropolitan life insurance company ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim; f. metropolitan life insurance company ignored and/or misrepresented the opinions of plaintiffs treating physician.",The plaintiff's appeal to Metropolitan Life Insurance Company's decision follows the cancellation of the plaintiff's disability benefits.,entailment ,,4,4,both-explicit,,
"the pension plan for hourly employees of safety light corporation (the plan) is a tax-qualified, defined benefit pension plan covered under title iv of erisa. the plan was established by safety light for the exclusive benefit of its employees. see 29 u.s.c. 1104(a). safety light is the contributing sponsor and administrator of the plan within the meaning of 29 u.s.c. 1002(16) and 1301(a)(1), (13). in march 2022, as a result of a pbgc premium filing review, pbgcs financial operations department (fod) discovered that safety light had failed to pay required pension plan premiums since in response to the referral, cfrd opened a case to investigate further. this investigation was undertaken pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). during the preliminary stages of this investigation, it was discovered that safety light ceased operations in 2007/2008, but remained current on its premium payments and irs form 5500 filings until",Safety Light stopping the payment of premiums precedes PBGC's Financial Operations Department discovering this failure.,entailment,,4,4,one-implicit-one-explicit,,
"the pension plan for hourly employees of safety light corporation (the plan) is a tax-qualified, defined benefit pension plan covered under title iv of erisa. the plan was established by safety light for the exclusive benefit of its employees. see 29 u.s.c. 1104(a). safety light is the contributing sponsor and administrator of the plan within the meaning of 29 u.s.c. 1002(16) and 1301(a)(1), (13). in march 2022, as a result of a pbgc premium filing review, pbgcs financial operations department (fod) discovered that safety light had failed to pay required pension plan premiums since in response to the referral, cfrd opened a case to investigate further. this investigation was undertaken pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). during the preliminary stages of this investigation, it was discovered that safety light ceased operations in 2007/2008, but remained current on its premium payments and irs form 5500 filings until",PBGC's Financial Operations Department's discovery of Safety Light's failure to pay premiums happens after Safety Light stopped paying premiums.,entailment ,,4,4,one-implicit-one-explicit,,
"the pension plan for hourly employees of safety light corporation (the plan) is a tax-qualified, defined benefit pension plan covered under title iv of erisa. the plan was established by safety light for the exclusive benefit of its employees. see 29 u.s.c. 1104(a). safety light is the contributing sponsor and administrator of the plan within the meaning of 29 u.s.c. 1002(16) and 1301(a)(1), (13). in march 2022, as a result of a pbgc premium filing review, pbgcs financial operations department (fod) discovered that safety light had failed to pay required pension plan premiums since in response to the referral, cfrd opened a case to investigate further. this investigation was undertaken pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). during the preliminary stages of this investigation, it was discovered that safety light ceased operations in 2007/2008, but remained current on its premium payments and irs form 5500 filings until",Safety Light's failure to pay premiums is not simultaneous with PBGC's Financial Operations Department's discovery of this failure; the former event happens before the latter.,entailment,,4,4,one-implicit-one-explicit,,
"plaintiff then applied for and eventually received short term disability benefits from employer\s short term disability plan, (plan/policy which was also held and/or insured and/or administered by defendants. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 5 of 9"", \ plaintiff then applied for long term disability benefits on or about september 23, 2004 and started receiving monthly long term disability benefits per the plan/policy.",Submitting the application for short term disability benefits precedes the receipt of these benefits.,entailment ,,4,4,both-explicit,,
"plaintiff then applied for and eventually received short term disability benefits from employer\\\\\ s short term disability plan, (plan/policy which was also held and/or insured and/or administered by defendants. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 5 of 9"", \ plaintiff then applied for long term disability benefits on or about september 23, 2004 and started receiving monthly long term disability benefits per the plan/policy.",Submitting the application for short term disability benefits happens before applying for long term disability benefits.,entailment,,4,4,both-explicit,,
"plaintiff then applied for and eventually received short term disability benefits from employer\\\\\ s short term disability plan, (plan/policy which was also held and/or insured and/or administered by defendants. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 5 of 9"", \ plaintiff then applied for long term disability benefits on or about september 23, 2004 and started receiving monthly long term disability benefits per the plan/policy.",Receiving short term disability benefits starts after submitting the application for these benefits.,entailment,,4,4,both-explicit,,
"pbgc repeats and realleges each and every allegation contained in the preceding paragraphs. case 3:24-cv-01532 document 1 filed 03/13/24 page 6 of 9 7 complaint case no. 3:24-cv-1532 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 by causing the plan to loan plan assets to volk electric, the defendant violated his duty under section 1104(a)(1)(a) to discharge his duties solely in the interest of participants and beneficiaries. case 3:24-cv-01532 document 1 filed 03/13/24 page 7 of 9 8 complaint case no. 3:24-cv-1532 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 the defendant failed to take any action to seek repayment of the assets that were transferred from the plan to volk electric.",The defendant's agreement to the transfer of assets from the plan to Volk Electric precedes his failure to seek repayment of those assets.,entailment,,4,4,one-implicit-one-explicit,,
"pbgc repeats and realleges each and every allegation contained in the preceding paragraphs. case 3:24-cv-01532 document 1 filed 03/13/24 page 6 of 9 7 complaint case no. 3:24-cv-1532 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 by causing the plan to loan plan assets to volk electric, the defendant violated his duty under section 1104(a)(1)(a) to discharge his duties solely in the interest of participants and beneficiaries. case 3:24-cv-01532 document 1 filed 03/13/24 page 7 of 9 8 complaint case no. 3:24-cv-1532 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 the defendant failed to take any action to seek repayment of the assets that were transferred from the plan to volk electric.",The defendant's violation of his duty to discharge his duties solely in the interest of participants and beneficiaries follows his agreement to the transfer of assets to Volk Electric.,entailment,,4,4,one-implicit-one-explicit,,
"pbgc repeats and realleges each and every allegation contained in the preceding paragraphs. case 3:24-cv-01532 document 1 filed 03/13/24 page 6 of 9 7 complaint case no. 3:24-cv-1532 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 by causing the plan to loan plan assets to volk electric, the defendant violated his duty under section 1104(a)(1)(a) to discharge his duties solely in the interest of participants and beneficiaries. case 3:24-cv-01532 document 1 filed 03/13/24 page 7 of 9 8 complaint case no. 3:24-cv-1532 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 the defendant failed to take any action to seek repayment of the assets that were transferred from the plan to volk electric.",The defendant's failure to take any action to seek repayment of the assets happens after the transfer of assets from the plan to Volk Electric.,entailment ,,4,4,one-implicit-one-explicit,,
"audrey requires twelve hours of skilled nursing care daily for the ongoing clinical assessment of her respiratory needs and her overall health. the daily professional medical care, clinical assessment and exercise of clinical judgment by licensed nurses is essential to prevent audrey from requiring repeated emergency and prolonged intensive care hospitalizations. mr. lous employer-provided health benefit plans have always covered audreys daily skilled nursing care both during his tenure with his prior employer since audreys initial diagnosis, and under the plan from the date mr. lou was hired by accenture in april 2019 through january 22, case 3:22-cv-03091 document 1 filed 05/26/22 page 4 of 17 lou v. accenture u.s. group health plan, et al., complaint 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 bcbsil accepted and paid all claims for audreys daily skilled nursing care from april 2019 through january 22,",Mr. Lou being hired by Accenture precedes the coverage of Audrey's daily skilled nursing care under Accenture's health benefit plan.,entailment,,4,4,both-explicit,,
"audrey requires twelve hours of skilled nursing care daily for the ongoing clinical assessment of her respiratory needs and her overall health. the daily professional medical care, clinical assessment and exercise of clinical judgment by licensed nurses is essential to prevent audrey from requiring repeated emergency and prolonged intensive care hospitalizations. mr. lous employer-provided health benefit plans have always covered audreys daily skilled nursing care both during his tenure with his prior employer since audreys initial diagnosis, and under the plan from the date mr. lou was hired by accenture in april 2019 through january 22, case 3:22-cv-03091 document 1 filed 05/26/22 page 4 of 17 lou v. accenture u.s. group health plan, et al., complaint 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 bcbsil accepted and paid all claims for audreys daily skilled nursing care from april 2019 through january 22,","The event of Audrey requiring twelve hours of skilled nursing care daily is simultaneous with the daily professional medical care, clinical assessment, and exercise of clinical judgment by licensed nurses.",entailment ,,3,3,both-explicit,,
"audrey requires twelve hours of skilled nursing care daily for the ongoing clinical assessment of her respiratory needs and her overall health. the daily professional medical care, clinical assessment and exercise of clinical judgment by licensed nurses is essential to prevent audrey from requiring repeated emergency and prolonged intensive care hospitalizations. mr. lous employer-provided health benefit plans have always covered audreys daily skilled nursing care both during his tenure with his prior employer since audreys initial diagnosis, and under the plan from the date mr. lou was hired by accenture in april 2019 through january 22, case 3:22-cv-03091 document 1 filed 05/26/22 page 4 of 17 lou v. accenture u.s. group health plan, et al., complaint 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 bcbsil accepted and paid all claims for audreys daily skilled nursing care from april 2019 through january 22,",The acceptance and payment of all claims for Audrey's daily skilled nursing care by BCBSIL follows Mr. Lou's hiring by Accenture.,entailment,,4,4,both-explicit,,
"428 of the florida statutes or as otherwise awardable (such as, for example, through a prospective statutory offer of judgment / proposal for settlement), (c) costs incurred bringing this action, and (d) for such other relief as this court deems case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 24 of 31 pageid 24 25 equitable, just and proper. count iii unjust enrichment scv re-alleges paragraphs 1 through 34 (namely, as it pertains to this count, paragraphs 8-19, 24-29, 31-33)14 as if fully set forth herein, and further alleges as follows. scv conferred a direct benefit on defendants by providing defendants insured / member (r.c.) with medical services to which the insured was entitled under the insurance policy (covered) as evidenced by defendants partial payment. examples of conferral of benefit would include the following, for examples, which are posed as questions: (a) what about defendants receiving the benefit when their policyholder / employee received care and treatment offering defendants insurance policy as their primary method of payment? (b) what about the good health of r.c. conferred on defendants? was it not of benefit to defendants that scv minimized (if not entirely eliminated, actually) r.c.s future medical expense (and insurance claims to defendants) relating to the subject conditions such as prolonged alternative treatments or a return for more (and perhaps more complex) surgery due to complications arising out of some other inferior treatment regimen? defendants voluntarily accepted and received the benefit conferred by scv, with the knowledge that scv expected to be paid the reasonable value of 14 note that the specific common allegation paragraphs referenced here are the same as count ii because this count iii is pleaded in the alternative to count ii. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 25 of 31 pageid 25 26 its services; i.e., scvs usual, customary, reasonable charges as prescribed by reasonable, negotiated re-pricing vendor (pmcs) or, for that matter, as prescribed by floridas publicly available ahca database assessing rates of various medical providers of like kind within like geography (see n. 9-10, supra). again, as to defendants knowledge, there are several things supportive of same in the above common allegations; e.g., the pre-authorization process, scvs claim submission package cover letter and package (which such package included reference to scvs re-pricing expectation through pmcs), the parties past dealings with each other (in particularly uhc and scv, but perhaps also aa and scv), and et cetera.",Verifying the services provided by SCV precedes the defendants making a partial payment as evidence.,contradiction,events ,4,4,one-implicit-one-explicit,,
"428 of the florida statutes or as otherwise awardable (such as, for example, through a prospective statutory offer of judgment / proposal for settlement), (c) costs incurred bringing this action, and (d) for such other relief as this court deems case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 24 of 31 pageid 24 25 equitable, just and proper. count iii unjust enrichment scv re-alleges paragraphs 1 through 34 (namely, as it pertains to this count, paragraphs 8-19, 24-29, 31-33)14 as if fully set forth herein, and further alleges as follows. scv conferred a direct benefit on defendants by providing defendants insured / member (r.c.) with medical services to which the insured was entitled under the insurance policy (covered) as evidenced by defendants partial payment. examples of conferral of benefit would include the following, for examples, which are posed as questions: (a) what about defendants receiving the benefit when their policyholder / employee received care and treatment offering defendants insurance policy as their primary method of payment? (b) what about the good health of r.c. conferred on defendants? was it not of benefit to defendants that scv minimized (if not entirely eliminated, actually) r.c.s future medical expense (and insurance claims to defendants) relating to the subject conditions such as prolonged alternative treatments or a return for more (and perhaps more complex) surgery due to complications arising out of some other inferior treatment regimen? defendants voluntarily accepted and received the benefit conferred by scv, with the knowledge that scv expected to be paid the reasonable value of 14 note that the specific common allegation paragraphs referenced here are the same as count ii because this count iii is pleaded in the alternative to count ii. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 25 of 31 pageid 25 26 its services; i.e., scvs usual, customary, reasonable charges as prescribed by reasonable, negotiated re-pricing vendor (pmcs) or, for that matter, as prescribed by floridas publicly available ahca database assessing rates of various medical providers of like kind within like geography (see n. 9-10, supra). again, as to defendants knowledge, there are several things supportive of same in the above common allegations; e.g., the pre-authorization process, scvs claim submission package cover letter and package (which such package included reference to scvs re-pricing expectation through pmcs), the parties past dealings with each other (in particularly uhc and scv, but perhaps also aa and scv), and et cetera.",The defendants' partial payment as evidence follows the implicit event of verifying the services provided by SCV.,contradiction,events ,4,4,one-implicit-one-explicit,,
"428 of the florida statutes or as otherwise awardable (such as, for example, through a prospective statutory offer of judgment / proposal for settlement), (c) costs incurred bringing this action, and (d) for such other relief as this court deems case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 24 of 31 pageid 24 25 equitable, just and proper. count iii unjust enrichment scv re-alleges paragraphs 1 through 34 (namely, as it pertains to this count, paragraphs 8-19, 24-29, 31-33)14 as if fully set forth herein, and further alleges as follows. scv conferred a direct benefit on defendants by providing defendants insured / member (r.c.) with medical services to which the insured was entitled under the insurance policy (covered) as evidenced by defendants partial payment. examples of conferral of benefit would include the following, for examples, which are posed as questions: (a) what about defendants receiving the benefit when their policyholder / employee received care and treatment offering defendants insurance policy as their primary method of payment? (b) what about the good health of r.c. conferred on defendants? was it not of benefit to defendants that scv minimized (if not entirely eliminated, actually) r.c.s future medical expense (and insurance claims to defendants) relating to the subject conditions such as prolonged alternative treatments or a return for more (and perhaps more complex) surgery due to complications arising out of some other inferior treatment regimen? defendants voluntarily accepted and received the benefit conferred by scv, with the knowledge that scv expected to be paid the reasonable value of 14 note that the specific common allegation paragraphs referenced here are the same as count ii because this count iii is pleaded in the alternative to count ii. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 25 of 31 pageid 25 26 its services; i.e., scvs usual, customary, reasonable charges as prescribed by reasonable, negotiated re-pricing vendor (pmcs) or, for that matter, as prescribed by floridas publicly available ahca database assessing rates of various medical providers of like kind within like geography (see n. 9-10, supra). again, as to defendants knowledge, there are several things supportive of same in the above common allegations; e.g., the pre-authorization process, scvs claim submission package cover letter and package (which such package included reference to scvs re-pricing expectation through pmcs), the parties past dealings with each other (in particularly uhc and scv, but perhaps also aa and scv), and et cetera.",The defendants' acceptance and receipt of the benefit conferred by SCV happens after SCV conferred a direct benefit by providing medical services to the insured.,entailment,,4,4,one-implicit-one-explicit,,
"by letter dated april 30, 2018, undersigned counsel (with another law firm at that time) sent correspondence to uhc advising defendants that he represented plaintiff, scv. the letter contained a request for the entire administrative record / claim file pursuant to the law (the united states code and, to some extent, florida statute) and / or the subject policy / plan documents for that matter. a redacted copy of the aforementioned letter is attached hereto as exhibit h and incorporated fully herein by reference. at no time did defendants oblige any of the germane materials requested by undersigned counsel beyond fragmental, marginal production, which such production did not even include the insurance policy / plan document, let alone any materials purportedly substantiating that which is at issue here defendants unreasonably low claim payment rate. defendants were legally obligated to either directly provide the aforementioned requested documentation / information (see ex. h) to scv pursuant to federal codes cited above, in whole or in part, and / or contractually obligated. 8 so, if for some reason the court finds count i (sounding in federal codes) untenable, scv respectfully requests leave to amend count i to sound in breach of contract instead. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 13 of 31 pageid 13 14 there was no substantive defendants response to undersigned counsels letter (ex. h); i.e., there was marginal (borderline worthless) documentation / information production from defendants, which such production did not even include the insurance policy / plan document or documentation purportedly substantiating whatever re-pricing formula defendants implemented in arriving at their unreasonably low rate of payment.","The event of sending correspondence by the undersigned counsel advises defendants of representation of the plaintiff, SCV, precedes the defendants' marginal production of the requested documentation.",,,,,,,
"by letter dated april 30, 2018, undersigned counsel (with another law firm at that time) sent correspondence to uhc advising defendants that he represented plaintiff, scv. the letter contained a request for the entire administrative record / claim file pursuant to the law (the united states code and, to some extent, florida statute) and / or the subject policy / plan documents for that matter. a redacted copy of the aforementioned letter is attached hereto as exhibit h and incorporated fully herein by reference. at no time did defendants oblige any of the germane materials requested by undersigned counsel beyond fragmental, marginal production, which such production did not even include the insurance policy / plan document, let alone any materials purportedly substantiating that which is at issue here defendants unreasonably low claim payment rate. defendants were legally obligated to either directly provide the aforementioned requested documentation / information (see ex. h) to scv pursuant to federal codes cited above, in whole or in part, and / or contractually obligated. 8 so, if for some reason the court finds count i (sounding in federal codes) untenable, scv respectfully requests leave to amend count i to sound in breach of contract instead. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 13 of 31 pageid 13 14 there was no substantive defendants response to undersigned counsels letter (ex. h); i.e., there was marginal (borderline worthless) documentation / information production from defendants, which such production did not even include the insurance policy / plan document or documentation purportedly substantiating whatever re-pricing formula defendants implemented in arriving at their unreasonably low rate of payment.",The request for the entire administrative record/claim file and policy/plan documents made by the undersigned counsel happens before the defendants' failure to provide the insurance policy/plan document.,,,,,,,
"by letter dated april 30, 2018, undersigned counsel (with another law firm at that time) sent correspondence to uhc advising defendants that he represented plaintiff, scv. the letter contained a request for the entire administrative record / claim file pursuant to the law (the united states code and, to some extent, florida statute) and / or the subject policy / plan documents for that matter. a redacted copy of the aforementioned letter is attached hereto as exhibit h and incorporated fully herein by reference. at no time did defendants oblige any of the germane materials requested by undersigned counsel beyond fragmental, marginal production, which such production did not even include the insurance policy / plan document, let alone any materials purportedly substantiating that which is at issue here defendants unreasonably low claim payment rate. defendants were legally obligated to either directly provide the aforementioned requested documentation / information (see ex. h) to scv pursuant to federal codes cited above, in whole or in part, and / or contractually obligated. 8 so, if for some reason the court finds count i (sounding in federal codes) untenable, scv respectfully requests leave to amend count i to sound in breach of contract instead. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 13 of 31 pageid 13 14 there was no substantive defendants response to undersigned counsels letter (ex. h); i.e., there was marginal (borderline worthless) documentation / information production from defendants, which such production did not even include the insurance policy / plan document or documentation purportedly substantiating whatever re-pricing formula defendants implemented in arriving at their unreasonably low rate of payment.","The defendants' legal obligation to provide the requested documentation/information follows the event of sending correspondence by the undersigned counsel advising defendants of representation of the plaintiff, SCV.",,,,,,,
"by letter dated april 30, 2018, undersigned counsel (with another law firm at that time) sent correspondence to uhc advising defendants that he represented plaintiff, scv. the letter contained a request for the entire administrative record / claim file pursuant to the law (the united states code and, to some extent, florida statute) and / or the subject policy / plan documents for that matter. a redacted copy of the aforementioned letter is attached hereto as exhibit h and incorporated fully herein by reference. at no time did defendants oblige any of the germane materials requested by undersigned counsel beyond fragmental, marginal production, which such production did not even include the insurance policy / plan document, let alone any materials purportedly substantiating that which is at issue here defendants unreasonably low claim payment rate. defendants were legally obligated to either directly provide the aforementioned requested documentation / information (see ex. h) to scv pursuant to federal codes cited above, in whole or in part, and / or contractually obligated. 8 so, if for some reason the court finds count i (sounding in federal codes) untenable, scv respectfully requests leave to amend count i to sound in breach of contract instead. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 13 of 31 pageid 13 14 there was no substantive defendants response to undersigned counsels letter (ex. h); i.e., there was marginal (borderline worthless) documentation / information production from defendants, which such production did not even include the insurance policy / plan document or documentation purportedly substantiating whatever re-pricing formula defendants implemented in arriving at their unreasonably low rate of payment.",The request for documentation by the undersigned counsel precedes the defendants' failure to provide the insurance policy.,,,,,,,
"by letter dated april 30, 2018, undersigned counsel (with another law firm at that time) sent correspondence to uhc advising defendants that he represented plaintiff, scv. the letter contained a request for the entire administrative record / claim file pursuant to the law (the united states code and, to some extent, florida statute) and / or the subject policy / plan documents for that matter. a redacted copy of the aforementioned letter is attached hereto as exhibit h and incorporated fully herein by reference. at no time did defendants oblige any of the germane materials requested by undersigned counsel beyond fragmental, marginal production, which such production did not even include the insurance policy / plan document, let alone any materials purportedly substantiating that which is at issue here defendants unreasonably low claim payment rate. defendants were legally obligated to either directly provide the aforementioned requested documentation / information (see ex. h) to scv pursuant to federal codes cited above, in whole or in part, and / or contractually obligated. 8 so, if for some reason the court finds count i (sounding in federal codes) untenable, scv respectfully requests leave to amend count i to sound in breach of contract instead. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 13 of 31 pageid 13 14 there was no substantive defendants response to undersigned counsels letter (ex. h); i.e., there was marginal (borderline worthless) documentation / information production from defendants, which such production did not even include the insurance policy / plan document or documentation purportedly substantiating whatever re-pricing formula defendants implemented in arriving at their unreasonably low rate of payment.",The defendants' legal obligation to provide the requested documentation arises simultaneously with the undersigned counsel's request for the entire administrative record and claim file.,,,,,,,
"by letter dated april 30, 2018, undersigned counsel (with another law firm at that time) sent correspondence to uhc advising defendants that he represented plaintiff, scv. the letter contained a request for the entire administrative record / claim file pursuant to the law (the united states code and, to some extent, florida statute) and / or the subject policy / plan documents for that matter. a redacted copy of the aforementioned letter is attached hereto as exhibit h and incorporated fully herein by reference. at no time did defendants oblige any of the germane materials requested by undersigned counsel beyond fragmental, marginal production, which such production did not even include the insurance policy / plan document, let alone any materials purportedly substantiating that which is at issue here defendants unreasonably low claim payment rate. defendants were legally obligated to either directly provide the aforementioned requested documentation / information (see ex. h) to scv pursuant to federal codes cited above, in whole or in part, and / or contractually obligated. 8 so, if for some reason the court finds count i (sounding in federal codes) untenable, scv respectfully requests leave to amend count i to sound in breach of contract instead. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 13 of 31 pageid 13 14 there was no substantive defendants response to undersigned counsels letter (ex. h); i.e., there was marginal (borderline worthless) documentation / information production from defendants, which such production did not even include the insurance policy / plan document or documentation purportedly substantiating whatever re-pricing formula defendants implemented in arriving at their unreasonably low rate of payment.",The defendants' failure to provide the insurance policy follows their receipt of the undersigned counsel's letter containing the request for the same.,,,,,,,
"the wrongful conduct of lincoln has created uncertainty where none should exist, therefore, johnson is entitled to enforce his rights under the terms of his case 1:24-cv-20033-xxxx document 1 entered on flsd docket 01/04/2024 page 5 of 7 ltd plan and to clarify his right to future benefits under the ltd plan. request for relief wherefore, casey johnson prays for relief against the lincoln national life insurance company as follows: an order declaring that plaintiff is entitled to immediate reinstatement to the ltd plan, with all ancillary benefits to which he is entitled by virtue of his disability. venue is proper in this district pursuant to 29 u.s.c. 1132 (e)(2)1, because metropolitan life insurance company may be found in this district. in particular, metropolitan life insurance company is registered as a corporation with the state of minnesota, conducts ongoing business with minnesota 1 29 u.s.c. 1132 (e)(2) states where an action under this subchapter is brought in a district court of the united states, it may be brought in the district where a defendant resides or may be found case 0:22-cv-01911-pjs-jfd doc. 1 filed 08/01/22 page 1 of 7 2 residents, employs minnesota residents, has extensive contacts within minnesota, and accordingly is found within minnesota.",Johnson seeking legal advice or assistance precedes his entitlement to enforce his rights under the terms of his case.,,,,,,,
"the wrongful conduct of lincoln has created uncertainty where none should exist, therefore, johnson is entitled to enforce his rights under the terms of his case 1:24-cv-20033-xxxx document 1 entered on flsd docket 01/04/2024 page 5 of 7 ltd plan and to clarify his right to future benefits under the ltd plan. request for relief wherefore, casey johnson prays for relief against the lincoln national life insurance company as follows: an order declaring that plaintiff is entitled to immediate reinstatement to the ltd plan, with all ancillary benefits to which he is entitled by virtue of his disability. venue is proper in this district pursuant to 29 u.s.c. 1132 (e)(2)1, because metropolitan life insurance company may be found in this district. in particular, metropolitan life insurance company is registered as a corporation with the state of minnesota, conducts ongoing business with minnesota 1 29 u.s.c. 1132 (e)(2) states where an action under this subchapter is brought in a district court of the united states, it may be brought in the district where a defendant resides or may be found case 0:22-cv-01911-pjs-jfd doc. 1 filed 08/01/22 page 1 of 7 2 residents, employs minnesota residents, has extensive contacts within minnesota, and accordingly is found within minnesota.",Johnson consulting with a legal professional happens before he prays for relief against the Lincoln National Life Insurance Company.,,,,,,,
"the wrongful conduct of lincoln has created uncertainty where none should exist, therefore, johnson is entitled to enforce his rights under the terms of his case 1:24-cv-20033-xxxx document 1 entered on flsd docket 01/04/2024 page 5 of 7 ltd plan and to clarify his right to future benefits under the ltd plan. request for relief wherefore, casey johnson prays for relief against the lincoln national life insurance company as follows: an order declaring that plaintiff is entitled to immediate reinstatement to the ltd plan, with all ancillary benefits to which he is entitled by virtue of his disability. venue is proper in this district pursuant to 29 u.s.c. 1132 (e)(2)1, because metropolitan life insurance company may be found in this district. in particular, metropolitan life insurance company is registered as a corporation with the state of minnesota, conducts ongoing business with minnesota 1 29 u.s.c. 1132 (e)(2) states where an action under this subchapter is brought in a district court of the united states, it may be brought in the district where a defendant resides or may be found case 0:22-cv-01911-pjs-jfd doc. 1 filed 08/01/22 page 1 of 7 2 residents, employs minnesota residents, has extensive contacts within minnesota, and accordingly is found within minnesota.",The event of Johnson seeking legal advice or assistance is followed by his request for an order declaring his entitlement to immediate reinstatement to the LTD plan.,,,,,,,
