paragraph,label,query,output,error,temporal_relation,paraphrases
"00, not including interest of attorneys fees, costs, or interest, if, for examples, the negotiated, agreed to 80% / 100% rate system prescribed by uhcs third-party re-pricing vendor (pmcs) is honored / enforced as it should be, or even if rates prescribed by publicly available databases assessing the charges of providers of like kind within like geographies, like ahca, were utilized in the re- pricing assessment. see n. 9, supra.10 scv exhausted the pre-suit appeal process to the best of its ability, hindered by defendants wrongful refusal to provide administrative records / claim file / germane documentation required by federal codes (and / or, for that matter, like records available per insurance contract or florida statute requiring explanation / substantiation to the recipient of an adverse benefits determination, here scv), in an effort to accomplish defendants doing the right thing (i.e., properly compensating scv) sans litigation, to no avail. hence, this lawsuit as scvs regrettable last resort. 10 to be clear, it is scvs position that the pmcs re-pricing contract (see ex. c) supplanted the plan documents re-pricing formula (see 26, supra) and should have dictated the re-pricing of the subject claim. if, however, this court somehow determines that the pmcs re-pricing contract is untenable, scv respectfully requests the ability to amend the complaints underpayment counts (counts ii-iv) to sound in the plan document language found in paragraph 26 above because defendants unreasonably low rate of payment did not follow fairhealth and / or geographically-oriented re-pricing databases. case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 18 of 31 pageid 18 19 count i petition to compel production of the administrative record and for recovery of administrative record production failure penalty pursuant to erisa, 29 u.s.c. 1024(b), 29 u.s.c. 1132(c)(1), 29 c.f.r. this is a claim for production of the administrative record and for award of administrative record production failure penalty pursuant to title 29, united states code, section 1132(c)(1), title 29, united states code, section 1024(b), title 29, code of federal regulations, section",yes,Does the court's consideration of the pmcs re-pricing contract and plan document language precedes the determination of the payment rate methodology?,no,yes,before,Yes
"unum life insurance company of america denied plaintiffs claim for disability benefits. plaintiff appealed unum life insurance company of 2 [a]n entity that is both the claims administrator and payor of benefits has a conflict of interest. jones v. mountaire corp. long term disability plan, 542 f. 3d 234, 240 (8th cir. 2008). moreover, as the supreme court has held, that conflict must be weighed as a factor in determining whether there is an abuse of discretion. metro. life ins. co. v. glenn, 128 s. ct. 2343, 2348 (2008) (emphasis added). case 0:23-cv-02268 doc. 1 filed 08/01/23 page 3 of 7 4 americas decision, but unum life insurance company of america denied plaintiffs appeal on june 6, unum life insurance company of americas decision to deny disability benefits was unreasonable, irrational, wrongful, contrary to the terms of the plan, contrary to the evidence and contrary to law, as demonstrated by the following non-exhaustive examples: a. unum life insurance company of america failed to have plaintiff independently examined, and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician; b. unum life insurance company of america relied on the opinion of a medical professional who was financially biased by their relationship with unum life insurance company of america and as such unable to offer an unbiased opinion; c. unum life insurance company of america relied on the opinion of a medical professional that was not supported by substantial case 0:23-cv-02268 doc. 1 filed 08/01/23 page 4 of 7 5 evidence in the claim file, and was inconsistent with the overall evidence in the record; d. unum life insurance company of america relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physicians; e. unum life insurance company of america ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim; f. unum life insurance company of america ignored and/or misrepresented the opinions of plaintiffs treating physicians. unum life insurance company of americas failure to provide plaintiff with disability benefits has caused plaintiff to be deprived of those benefits from february 14, 2022 to the present. plaintiff will continue to be case 0:23-cv-02268 doc. 1 filed 08/01/23 page 5 of 7 6 deprived of those benefits, and accordingly will continue to suffer future damages in an amount to be determined.",no,Does the event of unum life insurance company of america denying the plaintiff's appeal precedes the initial denial of the plaintiff's claim for disability benefits?,yes,yes,before,Yes.
"the new policy, which was facially discriminatory based on age, was approved by the defendants on the executive counsel on or shortly after june 17, at the time the new policy was approved by the executive council, all of the defendants on the executive council planned on retiring at age 65 and, as a result, knew that pantoja was the only member of the executive council that would be adversely affected by the policy. the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda. e. pantojas removal from elected office on april 1, 2022 pursuant to the mandatory retirement policy",yes,Does planning to retire at age 65 precedes the approval of the new policy?,no,yes,before,Yes.
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",yes,Does ms. reed advising ms. salome precedes ms. salome agreeing to ms. reed's advice?,no,yes,before,Yes.
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",yes,Does ms. arvan going out onto the floor precedes her walking past the roll tunnel?,no,yes,before,Yes.
"however, after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam, pantoja agreed not to run against defendant cervantes.\ , ""after the election, pantoja formally asked the executive council to place local 2198 under supervision. defendant gst cervantes, through defendant bryant, who was the gvp assigned to assist her, opposed supervision and campaigned to have the executive council case 1:22-cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action. despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198, the executive council rejected pantoja s motion."", ""several months later, pantoja again demanded that the iam take remedial action; and, the executive council finally voted to impose supervision. ultimately, local lodge 2198 filed a 2018 form lm-2 with the u.s. department of labor, in which it acknowledged that there was a shortage attributable to local lodge 2198",yes,Does speaking between pantoja and martinez follows martinez persuading pantoja?,no,yes,after,Yes.
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",no,Does the agreement to arbitrate the sole issue of the calculation of backpay precedes the scheduling of the arbitration before arbitrator travis?,yes,yes,before,Yes.
"as part of its investigation, pbgc requested by letter dated march 9, 2022, that safety light provide to pbgc certain documents and information relating to the plan and the financial condition of safety light (information request letter). pbgc sent the information request letter via electronic mail to silverthorn. see exhibit c. case 2:22-cv-04603 document 1 filed 11/17/22 page 10 of 47 3 on april 12, 2022, pbgc issued a subpoena to safety light under 29 u.s.c. 1303(b) requiring production of the previously requested documents and information on or before may 3, 2022 (safety light subpoena). see exhibit e. respondents failed to respond to the safety light subpoena within the time prescribed. however, on may 4, 2022, after an email following up on the safety light subpoena, silverthorn requested an extension to respond until the end of may. pbgc agreed to the extension, with the understanding that documents would be provided on a rolling basis. respondents did not meet this new deadline nor communicate with pbgc in the interim.",no,Does silverthorn's request for an extension precedes pbgc's follow-up email regarding the safety light subpoena?,No,yes,before,No.
"unum life insurance company of america denied plaintiffs claim for disability benefits. plaintiff appealed unum life insurance company of 2 [a]n entity that is both the claims administrator and payor of benefits has a conflict of interest. jones v. mountaire corp. long term disability plan, 542 f. 3d 234, 240 (8th cir. 2008). moreover, as the supreme court has held, that conflict must be weighed as a factor in determining whether there is an abuse of discretion. metro. life ins. co. v. glenn, 128 s. ct. 2343, 2348 (2008) (emphasis added). case 0:23-cv-02268 doc. 1 filed 08/01/23 page 3 of 7 4 americas decision, but unum life insurance company of america denied plaintiffs appeal on june 6, unum life insurance company of americas decision to deny disability benefits was unreasonable, irrational, wrongful, contrary to the terms of the plan, contrary to the evidence and contrary to law, as demonstrated by the following non-exhaustive examples: a. unum life insurance company of america failed to have plaintiff independently examined, and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician; b. unum life insurance company of america relied on the opinion of a medical professional who was financially biased by their relationship with unum life insurance company of america and as such unable to offer an unbiased opinion; c. unum life insurance company of america relied on the opinion of a medical professional that was not supported by substantial case 0:23-cv-02268 doc. 1 filed 08/01/23 page 4 of 7 5 evidence in the claim file, and was inconsistent with the overall evidence in the record; d. unum life insurance company of america relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physicians; e. unum life insurance company of america ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim; f. unum life insurance company of america ignored and/or misrepresented the opinions of plaintiffs treating physicians. unum life insurance company of americas failure to provide plaintiff with disability benefits has caused plaintiff to be deprived of those benefits from february 14, 2022 to the present. plaintiff will continue to be case 0:23-cv-02268 doc. 1 filed 08/01/23 page 5 of 7 6 deprived of those benefits, and accordingly will continue to suffer future damages in an amount to be determined.",no,Does the plaintiff providing medical evidence to unum life insurance company of america follows the company's decision to deny the plaintiff's claim for disability benefits?,Yes,yes,after,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,Does the event of brings (plaintiff action against defendant) is simultaneous with vacate (an arbitration award and amended arbitration award)?,no,yes,simultaneous,Yes.
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",no,Does the dispute over holiday work follows the union members' concerted refusal to pick up extra shifts?,No,yes,after,Yes.
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",no,"Does rivera rolling his eyes at ms. arvan is simultaneous with him becoming more agitated and disrespectful, and it follows ms. arvan's advice about using a roll pusher?",yes,yes,after,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,"Does trachte violating the terms of the collective bargaining agreement precedes trachte receiving the award on december 1,?",no,yes,before,Yes.
"less than 3 months have passed since the award and the amended award were delivered. true and accurate copies of the award and the amended award are attached as exhibits 1 and trachte and local 565 are parties to a collective bargaining agreement (the cba) covering employees represented by local 565 at the sun prairie plant. a true and accurate copy of the cba is attached as exhibit article 9, section 1 of the cba outlines a four-step procedure to resolve grievances. if a grievance has not been resolved by the time the four-step process is exhausted, then the grievance may be appealed to arbitration. for grievances involving a termination, the cba provides the grievance process starts at step",no,Does the attachment of true and accurate copies of the award and amended award precedes their creation?,    no,yes,before,Yes
"as part of its investigation, pbgc requested by letter dated march 9, 2022, that safety light provide to pbgc certain documents and information relating to the plan and the financial condition of safety light (information request letter). pbgc sent the information request letter via electronic mail to silverthorn. see exhibit c. case 2:22-cv-04603 document 1 filed 11/17/22 page 10 of 47 3 on april 12, 2022, pbgc issued a subpoena to safety light under 29 u.s.c. 1303(b) requiring production of the previously requested documents and information on or before may 3, 2022 (safety light subpoena). see exhibit e. respondents failed to respond to the safety light subpoena within the time prescribed. however, on may 4, 2022, after an email following up on the safety light subpoena, silverthorn requested an extension to respond until the end of may. pbgc agreed to the extension, with the understanding that documents would be provided on a rolling basis. respondents did not meet this new deadline nor communicate with pbgc in the interim.",yes,Does pbgc's request for certain documents and information precedes the issuance of the subpoena to safety light?,    yes,yes,before,Yes
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",yes,Does ms. reed learning about the defaced guidelines precedes her advising ms. salome to issue the written discipline?,Yes,yes,before,Yes.
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",yes,Does the union directing hospital employees to refuse to pick up extra shifts precedes employees stopping to pick up shifts beyond their normal scheduled work?,    yes,yes,before,Yes
"defendant, iom health systems, who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard, franklin, tennessee 37067 and whose registered agent is corporation service company of america with a usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street, suite 1610, indianapolis, indiana, it is believed that this defendant conducts business throughout the united states, including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff. defendant, unum group formerly unum provident corporation, is believed to be a business incorporated under the laws of the state of delaware with its principal place of business located at 1 fountain square, chattanooga, tennessee 37402 and whose registered agent is corporation service company with a service of process address listed as 2908 poston avenue, nashville, tennessee",no,Does defendant conducting business in the northern district of indiana follows the employment of the plaintiff by the defendant?,No,yes,after,No.
"the pension plan is a tax-qualified, defined benefit pension plan covered under title iv of erisa. in march 2022, as a result of a pbgc premium filing review, pbgc discovered that safety light has failed to pay required pension plan premiums since 2018 and has also failed to make required pension plan contributions since in response to this finding, pbgc commenced an investigation into safety lights failure to make necessary payments to the pension plan, pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). case 2:22-cv-04603 document 1 filed 11/17/22 page 4 of 47 5",yes,Does safety light's neglect of their payment responsibilities precedes their failure to make required pension plan contributions?,no,yes,before,Yes.
", ""on or about february 19, 2021, defendants martinez, allen, blondin, wallace, bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website. in the letter, defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign, defendant richard johnsen, who had been promoted to be defendant ip martinezs chief of staff, stated that pantoja would be removed from his position as gvp-transportation because of his opposition to defendant cervantes. on or about march 19, 2021, the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",yes,Does the promotion of richard johnsen to chief of staff precedes the signing of the letter endorsing cervantes?,no,yes,before,Yes.
"plaintiff then applied for and eventually received short term disability benefits from employer s short term disability plan, (plan/policy which was also held and/or insured and/or administered by defendants. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 5 of 9"", \ plaintiff then applied for long term disability benefits on or about september 23, 2004 and started receiving monthly long term disability benefits per the plan/policy.",yes,Does submitting the application for short term disability benefits happens before applying for long term disability benefits?,    answer: yes,yes,before,Yes.
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",yes,Does the hospital being forced to hire traveler nurses and pay an extraordinary premium follows the union members' concerted refusal to pick up extra shifts?,Yes,yes,after,Yes.
", ""ten days later, by letter dated january 26, 2021, ip martinez advised pantoja that the transportation department s washington, dc office was to be closed and moved back to iam headquarters by march of 2021, even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board."", \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman.",no,"Does the decision to close the transportation department's washington, dc office follows martinez's act of advising pantoja about it?",yes,yes,after,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,Does the plaintiff action against defendant is precedes with the vacate action on an arbitration award and amended arbitration award?,No,yes,before,Yes.
"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits, or any benefit exclusively reserved to administration under the plan, to retirees. this court has the authority to determine the rights of the parties in connection with their dispute, namely whether the january 8 grievance should be arbitrated or pursued through the plan. , ""this dispute is ripe for adjudication, as the january 8 grievance is currently pending to be arbitrated. the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts.",no,Does the dispute becoming ripe for adjudication is follows with the pending arbitration of the january 8 grievance?,yes,yes,after,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,"Does trachte violating the terms of the collective bargaining agreement precedes trachte receiving the amended award on december 11,?",no,yes,before,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,Does trachte and local 565 reaching an agreement on the collective bargaining agreement precedes the vacate action on an arbitration award and amended arbitration award?,no,yes,before,Yes.
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",yes,Does the agreement to arbitrate the sole issue of the calculation of backpay follows the scheduling of the arbitration before arbitrator travis?,no,yes,after,Yes.
"the plaintiff has exhausted the administrative remedies of the plan. case 1:23-cv-00167-adc document 1 filed 01/23/23 page 6 of 8 7 the plaintiff is entitled to these benefits because the benefits are permitted under the policy issued by the defendants; the plaintiff has satisfied all conditions precedent to be eligible to receive the benefits and plaintiff has not waived or otherwise relinquished the entitlement to the benefits. relief sought the plaintiff requests that this court enter an order declaring the following: this action arises under the employee retirement income security act of 1974 (""erisa""), 29 u.s.c. 1001 et seq. the court has jurisdiction of this case pursuant to 28 u.s.c. 1331, in that this action arises under the laws of the united states. specifically, colleen a. young brings this action to enforce her rights under erisa as authorized by 29 u.s.c. 1132 et seq. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 1 of 9",yes,Does the review of the policy precedes the plaintiff has satisfied all conditions precedent to be eligible to receive the benefits?,no,yes,before,Yes.
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",no,Does rivera's continued pushing of the rolls is follows with ms. arvan's attempt to have a safety discussion with him?,yes,yes,after,Yes.
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",yes,Does the attachment of the complaint as exhibit 1 is precedes with the complaint setting out the spurious reasons for first-class air travel?,Yes.,yes,before,Yes
