paragraph,label,query,output,error,temporal_relation,,negation,noun event
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",yes,Does ms. reed advising ms. salome precedes ms. salome agreeing to ms. reed's advice?,no,yes,before,,,
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",yes,Does rivera pushing the rolls with his hands precedes ms. arvan's intervention?,    answer: yes,yes,before,,,x
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",yes,Does the agreement to arbitrate the calculation of backpay precedes the parties have entered a settlement agreement?,no,yes,before,,,x
"as part of its investigation, pbgc requested by letter dated march 9, 2022, that safety light provide to pbgc certain documents and information relating to the plan and the financial condition of safety light (information request letter). pbgc sent the information request letter via electronic mail to silverthorn. see exhibit c. case 2:22-cv-04603 document 1 filed 11/17/22 page 10 of 47 3 on april 12, 2022, pbgc issued a subpoena to safety light under 29 u.s.c. 1303(b) requiring production of the previously requested documents and information on or before may 3, 2022 (safety light subpoena). see exhibit e. respondents failed to respond to the safety light subpoena within the time prescribed. however, on may 4, 2022, after an email following up on the safety light subpoena, silverthorn requested an extension to respond until the end of may. pbgc agreed to the extension, with the understanding that documents would be provided on a rolling basis. respondents did not meet this new deadline nor communicate with pbgc in the interim.",no,Does safety light's failure to respond to the subpoena within the prescribed time follows silverthorn's request for an extension?,yes,yes,after,,,x
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",yes,Does ms. salome approaching rivera to present him with the disciplinary warning follows ms. reed's advice to ms. salome?,    answer: yes,yes,after,,,x
"less than 3 months have passed since the award and the amended award were delivered. true and accurate copies of the award and the amended award are attached as exhibits 1 and trachte and local 565 are parties to a collective bargaining agreement (the cba) covering employees represented by local 565 at the sun prairie plant. a true and accurate copy of the cba is attached as exhibit article 9, section 1 of the cba outlines a four-step procedure to resolve grievances. if a grievance has not been resolved by the time the four-step process is exhausted, then the grievance may be appealed to arbitration. for grievances involving a termination, the cba provides the grievance process starts at step",no,Does the application of the cba precedes the start of the grievance process for grievances involving a termination?,yes,yes,before,,,x
"the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages. count i breach of contract section 301 of the lmra, 29 u.s.c. 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays. upon information and belief, the union authorized the union members concerted action of storming meetings and offices during work hours. case 3:23-cv-00466 document 1 filed 04/13/23 page 7 of 10 8",yes,Does the hospital being notified about the union members' actions is simultaneous with the union members interfering with patient care?,no,yes,simultaneous,,x,
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,"Does trachte engaging in commerce or an industry affecting commerce precedes trachte engaging in the design, manufacture, and erection of steel self-storage systems?",no,yes,before,,,
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,Does trachte and local 565 reaching an agreement on the collective bargaining agreement precedes the vacate action on an arbitration award and amended arbitration award?,no,yes,before,,,
"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits, or any benefit exclusively reserved to administration under the plan, to retirees. this court has the authority to determine the rights of the parties in connection with their dispute, namely whether the january 8 grievance should be arbitrated or pursued through the plan. , ""this dispute is ripe for adjudication, as the january 8 grievance is currently pending to be arbitrated. the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts.",no,Does initiating a grievance follows the agreement to stay the arbitration pending the final disposition of this action in the united states courts?,    no,yes,after,,,x
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",no,"Does failed (rivera, to follow instructions) precedes continued (to store the rolls upside down)?",    answer: no,yes,before,,,
"however, after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam, pantoja agreed not to run against defendant cervantes.\ , ""after the election, pantoja formally asked the executive council to place local 2198 under supervision. defendant gst cervantes, through defendant bryant, who was the gvp assigned to assist her, opposed supervision and campaigned to have the executive council case 1:22-cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action. despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198, the executive council rejected pantoja s motion."", ""several months later, pantoja again demanded that the iam take remedial action; and, the executive council finally voted to impose supervision. ultimately, local lodge 2198 filed a 2018 form lm-2 with the u.s. department of labor, in which it acknowledged that there was a shortage attributable to local lodge 2198",no,Does the executive council's rejecting pantoja's motion precedes their voting process?,The answer is yes.,yes,before,,,x
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",no,"Does rivera rolling his eyes at ms. arvan is simultaneous with him becoming more agitated and disrespectful, and it follows ms. arvan's advice about using a roll pusher?",yes,yes,after,,,x
"the plaintiff has exhausted the administrative remedies of the plan. case 1:23-cv-00167-adc document 1 filed 01/23/23 page 6 of 8 7 the plaintiff is entitled to these benefits because the benefits are permitted under the policy issued by the defendants; the plaintiff has satisfied all conditions precedent to be eligible to receive the benefits and plaintiff has not waived or otherwise relinquished the entitlement to the benefits. relief sought the plaintiff requests that this court enter an order declaring the following: this action arises under the employee retirement income security act of 1974 (""erisa""), 29 u.s.c. 1001 et seq. the court has jurisdiction of this case pursuant to 28 u.s.c. 1331, in that this action arises under the laws of the united states. specifically, colleen a. young brings this action to enforce her rights under erisa as authorized by 29 u.s.c. 1132 et seq. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 1 of 9",no,Does the plaintiff exhausting the administrative remedies of the plan precedes the review of the policy?,yes,yes,before,,,x
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",yes,Does the union directing hospital employees to refuse to pick up extra shifts precedes employees stopping to pick up shifts beyond their normal scheduled work?,    yes,yes,before,,,
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",no,Does the union members' concerted refusal to pick up extra shifts starts after the union directing hospital employees to refuse to pick up extra shifts and follows the dispute over holiday work?,yes,yes,after,,,
"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits, or any benefit exclusively reserved to administration under the plan, to retirees. this court has the authority to determine the rights of the parties in connection with their dispute, namely whether the january 8 grievance should be arbitrated or pursued through the plan. , ""this dispute is ripe for adjudication, as the january 8 grievance is currently pending to be arbitrated. the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts.",yes,Does seeking arbitration precedes the pending status of the january 8 grievance to be arbitrated?,no,yes,before,,,
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",yes,Does the company and the union experiencing a dispute precedes the district court denying cdrt's summary judgment motion?,Yes,yes,before,,,
"the pension plan for hourly employees of safety light corporation (the plan) is a tax-qualified, defined benefit pension plan covered under title iv of erisa. the plan was established by safety light for the exclusive benefit of its employees. see 29 u.s.c. 1104(a). safety light is the contributing sponsor and administrator of the plan within the meaning of 29 u.s.c. 1002(16) and 1301(a)(1), (13). in march 2022, as a result of a pbgc premium filing review, pbgcs financial operations department (fod) discovered that safety light had failed to pay required pension plan premiums since in response to the referral, cfrd opened a case to investigate further. this investigation was undertaken pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). during the preliminary stages of this investigation, it was discovered that safety light ceased operations in 2007/2008, but remained current on its premium payments and irs form 5500 filings until",yes,Does safety light's failure to pay premiums is not simultaneous with pbgc's financial operations department's discovery of this failure; the former event happens before the latter?,    answer: yes,yes,before,,x,x
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",yes,Does ms. arvan telling rivera about the rolls being too heavy to be pushed with his hands precedes rivera responding that she was picking on him?,Yes,yes,before,,,
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",yes,Does ms. salome's agreement to ms. reed's advice is simultaneous with her decision to issue the written discipline and speak with rivera?,"
    yes",yes,simultaneous,,,x
"the new policy, which was facially discriminatory based on age, was approved by the defendants on the executive counsel on or shortly after june 17, at the time the new policy was approved by the executive council, all of the defendants on the executive council planned on retiring at age 65 and, as a result, knew that pantoja was the only member of the executive council that would be adversely affected by the policy. the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda. e. pantojas removal from elected office on april 1, 2022 pursuant to the mandatory retirement policy",no,"Does the approval of the new policy, which was facially discriminatory based on age, precedes the aim at removing pantoja?",yes,yes,before,,,x
"the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages. count i breach of contract section 301 of the lmra, 29 u.s.c. 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays. upon information and belief, the union authorized the union members concerted action of storming meetings and offices during work hours. case 3:23-cv-00466 document 1 filed 04/13/23 page 7 of 10 8",yes,Does the union members storming meetings and offices during work hours follows the union's authorization of such concerted action?,    yes,yes,after,,,x
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",yes,Does ms. salome noticing that someone defaced the storing guidelines happens before her believing that rivera defaced the picture?,Yes,yes,before,,x,
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",yes,Does ms. arvan addressing rivera's unsafe conduct follows her observation of him pushing the rolls?,Yes,yes,after,,,x
"however, after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam, pantoja agreed not to run against defendant cervantes.\ , ""after the election, pantoja formally asked the executive council to place local 2198 under supervision. defendant gst cervantes, through defendant bryant, who was the gvp assigned to assist her, opposed supervision and campaigned to have the executive council case 1:22-cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action. despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198, the executive council rejected pantoja s motion."", ""several months later, pantoja again demanded that the iam take remedial action; and, the executive council finally voted to impose supervision. ultimately, local lodge 2198 filed a 2018 form lm-2 with the u.s. department of labor, in which it acknowledged that there was a shortage attributable to local lodge 2198",no,Does pantoja agreeing not to run against cervantes is simultaneous with martinez persuading pantoja?,yes,yes,simultaneous,,x,
"in february of 2023, a union representative engaged in physically intimidating conduct with a hospital manager. in response to the incident, the hospital limited the union representatives access to the hospital. the union disputed this response. rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure, the union engaged in a work stoppage that included approximately 100 employees. many of these employees were on-duty and ceased doing work during working hours. in other instances, including as recently as march 2023, union representatives and union employees have engaged in work stoppages and stormed meetings and offices. for example, on or about march 15, 2023, union representatives incited a work stoppage on the case 3:23-cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours, rather than engage in the grievance and arbitration process as required by the contracts.",yes,Does the union's engagement in a work stoppage precedes the instance where union representatives and union employees engaged in work stoppages and stormed meetings and offices?,no,yes,before,,,x
"unum life insurance company of america denied plaintiffs claim for disability benefits. plaintiff appealed unum life insurance company of 2 [a]n entity that is both the claims administrator and payor of benefits has a conflict of interest. jones v. mountaire corp. long term disability plan, 542 f. 3d 234, 240 (8th cir. 2008). moreover, as the supreme court has held, that conflict must be weighed as a factor in determining whether there is an abuse of discretion. metro. life ins. co. v. glenn, 128 s. ct. 2343, 2348 (2008) (emphasis added). case 0:23-cv-02268 doc. 1 filed 08/01/23 page 3 of 7 4 americas decision, but unum life insurance company of america denied plaintiffs appeal on june 6, unum life insurance company of americas decision to deny disability benefits was unreasonable, irrational, wrongful, contrary to the terms of the plan, contrary to the evidence and contrary to law, as demonstrated by the following non-exhaustive examples: a. unum life insurance company of america failed to have plaintiff independently examined, and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician; b. unum life insurance company of america relied on the opinion of a medical professional who was financially biased by their relationship with unum life insurance company of america and as such unable to offer an unbiased opinion; c. unum life insurance company of america relied on the opinion of a medical professional that was not supported by substantial case 0:23-cv-02268 doc. 1 filed 08/01/23 page 4 of 7 5 evidence in the claim file, and was inconsistent with the overall evidence in the record; d. unum life insurance company of america relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physicians; e. unum life insurance company of america ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim; f. unum life insurance company of america ignored and/or misrepresented the opinions of plaintiffs treating physicians. unum life insurance company of americas failure to provide plaintiff with disability benefits has caused plaintiff to be deprived of those benefits from february 14, 2022 to the present. plaintiff will continue to be case 0:23-cv-02268 doc. 1 filed 08/01/23 page 5 of 7 6 deprived of those benefits, and accordingly will continue to suffer future damages in an amount to be determined.",yes,Does the plaintiff providing medical evidence to unum life insurance company of america precedes the company's decision to deny the plaintiff's claim for disability benefits?,no,yes,before,,,
"in february of 2023, a union representative engaged in physically intimidating conduct with a hospital manager. in response to the incident, the hospital limited the union representatives access to the hospital. the union disputed this response. rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure, the union engaged in a work stoppage that included approximately 100 employees. many of these employees were on-duty and ceased doing work during working hours. in other instances, including as recently as march 2023, union representatives and union employees have engaged in work stoppages and stormed meetings and offices. for example, on or about march 15, 2023, union representatives incited a work stoppage on the case 3:23-cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours, rather than engage in the grievance and arbitration process as required by the contracts.",no,Does the union disputing the hospital's response precedes the incident of the union representative engaging in physically intimidating conduct with a hospital manager?,No,yes,before,,,
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",no,Does ms. salome noticing that someone defaced the storing guidelines follows her believing that rivera defaced the picture?,    no,yes,after,,x,
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",no,"Does ms. salome's decision to issue a written warning to rivera precedes her action of advising ms. arvan and the company's human resources officer, rachel reed?",yes,yes,before,,,x
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",no,Does ms. salome informing ms. arvan and ms. reed about the situation is follows with her action of advising them?,yes,yes,after,,,
"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits, or any benefit exclusively reserved to administration under the plan, to retirees. this court has the authority to determine the rights of the parties in connection with their dispute, namely whether the january 8 grievance should be arbitrated or pursued through the plan. , ""this dispute is ripe for adjudication, as the january 8 grievance is currently pending to be arbitrated. the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts.",no,Does the parties agreeing to stay the arbitration precedes the awaiting of a court decision?,yes,yes,before,,,x
"however, after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam, pantoja agreed not to run against defendant cervantes.\ , ""after the election, pantoja formally asked the executive council to place local 2198 under supervision. defendant gst cervantes, through defendant bryant, who was the gvp assigned to assist her, opposed supervision and campaigned to have the executive council case 1:22-cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action. despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198, the executive council rejected pantoja s motion."", ""several months later, pantoja again demanded that the iam take remedial action; and, the executive council finally voted to impose supervision. ultimately, local lodge 2198 filed a 2018 form lm-2 with the u.s. department of labor, in which it acknowledged that there was a shortage attributable to local lodge 2198",no,Does pantoja agreeing not to run against cervantes is simultaneous with martinez persuading pantoja?,yes,yes,simultaneous,,x,
"the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations, and at all times relevant to this complaint, the union has continued to prosecute grievances and other rights under the contracts. case 3:23-cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that, because the hospital must remain open all days of the year, employees may be required to work on holidays on the terms and conditions described in the contracts. the hospital has at all times abided by these requirements in the contracts. the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts. the union submitted a grievance over that issue, but did not pursue it.",no,Does the union's continued prosecution of grievances and other rights under the contracts is follows with the union not providing any notice to the hospital regarding an alleged material breach of the contracts?,yes,yes,after,,x,
