1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""yes""","""yes""","""yes""","""no""","""yes""","""no""","""yes""","""no""","""no""","[""January 26, 2021"", ""March of 2021""]","""future""","""modal (was to be)""","""yes""",", "" ten days later , by letter dated january 26 , 2021 , ip martinez advised pantoja that the transportation department s washington , dc office was to be closed and moved back to iam headquarters by march of 2021 , even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""",""" , \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman .",,,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""April 7, 2018""","""Past and Present""","""Perfective Aspect ('became'), Progressive Aspect ('continues')""","""No""","plaintiff became disabled under the terms of the plans policy on or about april 7 , 2018 and continues to be disabled as defined by the plan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""",[],"""no""","accordingly , plaintiff is entitled to benefits under the terms of the plan .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","however , on 2 [ a]n entity that is both the claims administrator and payor of benefits has a conflict of interest .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",,"""no verbs""","""no verbs""","""no""","jones v. mountaire corp . long term disability plan , 542 f. 3d 234 , 240 ( 8th cir . 2008 ) .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""",[],"""present perfect""","""has (perfect aspect)""","""no""","moreover , as the supreme court has held , that conflict must be weighed as a factor in determining whether there is an abuse of discretion .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""none""","""none""","""no""",metro .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""N/A""","""N/A""","""no""",life ins .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""2008""]","""none""","""none""","""no""","co. v. glenn , 128 s. ct . 2343 , 2348 ( 2008 ) ( emphasis added ) .",,,,,,,,
"""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","[""08/01/22"", ""April 10, 2021""]","""Past""","""Simple""","""No""","case 0:22 - cv-01911 - pjs - jfd doc . 1 filed 08/01/22 page 3 of 7 4 april 10 , 2021 metropolitan life insurance company cancelled plaintiffs disability benefits .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","[""February 9""]","""past""","""no specific aspectual markers identified, but general past actions are discussed""","""no""","plaintiff appealed metropolitan life insurance companys decision , but metropolitan life insurance company denied plaintiffs appeal on february 9 , metropolitan life insurance companys decision to deny disability benefits was arbitrary , capricious , unreasonable , irrational , wrongful , contrary to the terms of the plan , contrary to the evidence and contrary to law , as demonstrated by the following non - exhaustive examples : a. metropolitan life insurance company failed to have plaintiff independently examined , and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician ; b. metropolitan life insurance company relied on the opinion of a medical professional who was financially biased by his / her relationship with metropolitan life insurance company and as such unable to offer an unbiased opinion ; case 0:22 - cv-01911 - pjs - jfd doc .",,,,,,,,
"""yes""","""yes""","""no""",,"""no""","""no""","""no""","""yes""","""yes""","[""08/01/22""]","""past""","""past tense markers""","""no""","1 filed 08/01/22 page 4 of 7 5 c. metropolitan life insurance company relied on the opinion of a medical professional that was not supported by substantial evidence in the claim file , and was inconsistent with the overall evidence in the record ; d. metropolitan life insurance company relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physician ; e. metropolitan life insurance company ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim ; f. metropolitan life insurance company ignored and/or misrepresented the opinions of plaintiffs treating physician .",,,,"""no""",,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""simple past""","""none""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""Would - marks hypothetical; regularly - frequency""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""yes""","""yes""","""no""","""yes""","""no""","""yes""","""no""","""no""","""no""",,"""Present""",,"""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","[""perfect""]","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""yes""","""yes""","""yes""","""yes""","""yes""","""no""","""no""","""yes""","""no""","[""2023-04-13""]","""past""","""was forced - past, passive; directed, picked up - past simple""","""no""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
,,,,,,,,,,,,,"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits , or any benefit exclusively reserved to administration under the plan , to retirees .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""January 8""]","""present""","""none""","""no""","this court has the authority to determine the rights of the parties in connection with their dispute , namely whether the january 8 grievance should be arbitrated or pursued through the plan .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""January 8""]","""present""","[""currently pending""]","""yes""",", "" this dispute is ripe for adjudication , as the january 8 grievance is currently pending to be arbitrated .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""have agreed (perfect aspect)""","""no""",the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts .,,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""Yes""","""No""","""Yes""","[""February 19, 2021""]","""Past""","""Simple aspect""","""No""",", "" on or about february 19 , 2021 , defendants martinez , allen , blondin , wallace , bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website .",,,,,,,,
"""yes""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""no""","""no""",[],"""past""","[""past progressive ('had been promoted')""]","""yes""","in the letter , defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign , defendant richard johnsen , who had been promoted to be defendant ip martinezs chief of staff , stated that pantoja would be removed from his position as gvp - transportation because of his opposition to defendant cervantes .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 19, 2021""]","""past""","""simple""","""no""","on or about march 19 , 2021 , the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",,,,,,,,
"""yes""","""no""","""yes""","""yes""","""yes""","""no""","""yes""","""no""","""yes""","[""January 26, 2021"", ""March of 2021""]","""past""","[""was to be closed""]","""yes""",", "" ten days later , by letter dated january 26 , 2021 , ip martinez advised pantoja that the transportation department s washington , dc office was to be closed and moved back to iam headquarters by march of 2021 , even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple (demoted),  perfect (had believed, supported)""","""no""",""" , \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""past""","""simple""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""past progressive""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive ('was picking')""","""no""",he responded that she was picking on him .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","[""04/04/22""]","""past""","""progressive (trying)""","""no""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""yes""","ms . arvan advised rivera that he should not be pushing rolls , that his conduct was unsafe and that he could get hurt .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",she advised him that he needed to use a roll pusher .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","when ms . arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher , he became more agitated and disrespectful and rolled his eyes at ms . arvan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""present""","""none""","""no""","ms . arvan said , do nt roll your eyes at me .",,,,,,,,
"""yes""","""no""","""yes""","""yes""","""no""","""no""","""yes""","""no""","""no""","[""January 26, 2021"", ""March of 2021""]","""past""","""none""","""no""",", "" ten days later , by letter dated january 26 , 2021 , ip martinez advised pantoja that the transportation department s washington , dc office was to be closed and moved back to iam headquarters by march of 2021 , even though the office was important to the functioning of the transportation department because of its proximity to the national mediation board .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""simple""","""no""",""" , \ martinez demoted tiberi because he believed that tiberi supported pantojas efforts to nominate anderman .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""November 25, 2020""]","""past""","""simple""","""no""","on november 25 , 2020 , the district court granted the unions summary judgment motion and denied cdrts .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""20"", ""6425""]","""past""","""simple""","""no""",cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit ( no . 20 - 6425 ) .,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""September 17, 2021""]","""past tense""","""simple aspect""","""no""","on september 17 , 2021 , however , the company and the union entered a settlement agreement that resolved the appeal .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""July 24, 2019""]","""past""","""simple past""","""no""","the settlement agreement is attached as exhibit d. in the settlement agreement , the parties agreed that they would arbitrate the sole issue of the calculation of backpay , as that remedy is referred to and defined in the july 24 , 2019 opinion and award of arbitrator mark c. travis .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""07/27/22""","""past""","""none specified""","""yes""",they further agreed that this arbitration would be before arbitrator travis . case 3:22 - cv-00386 - rgj document 1 filed 07/27/22 page 4 of 9 pageid # : 4 5 the remedy award,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""","plaintiff then applied for and eventually received short term disability benefits from employer s short term disability plan , ( plan / policy which was also held and/or insured and/or administered by defendants .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""03/08/24""]","""none""","""none""","""no""",usdc in / nd case 1:24 - cv-00109 document 1 filed 03/08/24,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",,"""past""",,"""no""","page 5 of 9 "" , \ plaintiff then applied for long term disability benefits on or about september 23 , 2004 and started receiving monthly long term disability benefits per the plan / policy .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple (no continuous or perfect aspect marked)""","""no""",the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""past""","[""simple""]","""no""","count i breach of contract section 301 of the lmra , 29 u.s.c . 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""","upon information and belief , the union authorized the union members concerted action of storming meetings and offices during work hours .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""None""","""None""","""no""",case 3:23 - cv-00466 document 1 filed 04/13/23 page 7 of 10 8,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""habitual ('would regularly')""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","""No""","""No""",,"""Present""","""Simple aspect""","""Yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""perfect aspect ('has caused')""","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""yes""","""yes""","""yes""","""yes""","""yes""","""no""","""no""","""yes""","""no""",,"""past""","""was forced, to pay""","""no""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""past""","""simple aspect""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
,,,,,,,,,,,,,ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive (was picking)""","""no""",he responded that she was picking on him .,,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""Yes""","""No""","""Yes""","""No""","[""04/04/22""]","""Past""","""Progressive (was trying)""","""No""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
"""no""","""no""","""no""","""yes""","""yes""","""no""","""yes""","""no""","""no""",[],"""past""","""simple""","""yes""","ms . arvan advised rivera that he should not be pushing rolls , that his conduct was unsafe and that he could get hurt .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",she advised him that he needed to use a roll pusher .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","when ms . arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher , he became more agitated and disrespectful and rolled his eyes at ms . arvan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""present""","""no specific aspectual markers""","""no""","ms . arvan said , do nt roll your eyes at me .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""have (perfect)""","""no""","the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits , or any benefit exclusively reserved to administration under the plan , to retirees .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""January 8""","""present""","""has (perfective aspect marker)""","""yes""","this court has the authority to determine the rights of the parties in connection with their dispute , namely whether the january 8 grievance should be arbitrated or pursued through the plan .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""January 8""]","""present""","[""is currently pending""]","""yes""",", "" this dispute is ripe for adjudication , as the january 8 grievance is currently pending to be arbitrated .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect""","""yes""",the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""",audrey requires twelve hours of skilled nursing care daily for the ongoing clinical assessment of her respiratory needs and her overall health .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""yes""","the daily professional medical care , clinical assessment and exercise of clinical judgment by licensed nurses is essential to prevent audrey from requiring repeated emergency and prolonged intensive care hospitalizations .",,,,,,,,
"""Yes""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","[""April 2019"", ""January 22"", ""05/26/22""]","""Past""","""Perfect Aspect""","""No""","mr . lous employer - provided health benefit plans have always covered audreys daily skilled nursing care both during his tenure with his prior employer since audreys initial diagnosis , and under the plan from the date mr . lou was hired by accenture in april 2019 through january 22 , case 3:22 - cv-03091 document 1 filed 05/26/22 page 4 of 17 lou v. accenture u.s . group health plan , et al . , complaint 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 bcbsil accepted and paid all claims for audreys daily skilled nursing care from april 2019 through january 22 ,",,,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","[""March 3, 2022""]","""Past""","""Simple""","""No""","on march 3 , 2022 , cdrt and the union held a remedy hearing before arbitrator mark c. travis in louisville , kentucky .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""June 27, 2022""","""past""","""none""","""no""","on june 27 , 2022 , the arbitrator issued an award ( the damages award ) .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""July 24, 2019""]","""past""","[""did not"", ""as referred to""]","""no""","this damages award is attached as exhibit e. in his damages award , however , the arbitrator did not award or calculate backpay as referred to and defined in the july 24 , 2019 merits award or act in a way authorized by the parties in the settlement agreement .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""future""","""no specific aspectual markers""","""yes""","the merits award provided only that [ b]argaining unit members who were not offered the opportunity to perform work assigned to employees of c & amp;w facility services , shall be made whole for all lost wages and benefits sustained .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""","but , as the arbitrator noted in his damages award , the union did not present evidence of a specific individual who suffered a loss of wages .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",[],"""no""",nor did the union present evidence that any specific individual lost benefits or suffered any other monetary loss .,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""02/03/22""]","""past""","""None specific, verbs used indicate completed action ('was submitted')""","""no""","as mentioned above , scvs billed charges for the subject medical case 6:22 - cv-00236 - wwb - ejk document 1 filed 02/03/22 page 9 of 31 pageid 9 10 services rendered to r.c . totaled $ 401 , 00 , and a claim package was submitted to uhc relating to same shortly after the subject procedure .",,,,,,,,
"""Yes""","""Yes""","""Yes""","""No""","""Yes""","""No""","""No""","""Yes""","""No""",[],"""Predominantly past""","""None""","""No""","see ex . e. the scv cover letter to its claim submission packet ( see ex . e ) makes specific reference to scvs appropriate expectation that claim payment would unfold pursuant to the preferred medical claim solutions ( pmcs ) ( see ex . c ) that existed ( not some unknown uhc re - pricing contract that defendants would eventually unilaterally employ ) , which , again , such re - pricing contract ( even the yet discovered re - pricing contract / formula / program that defendants employed ) is separate and distinct from the plan document ( exhibit a ) ; i.e. , again , resolution of counts ii - iv ( which hinge on the appropriate re - pricing mechanism ) will require little ( if any ) reference to exhibit a and certainly not a substantive reference to / interpretation of exhibit a , which such substantive reference / interpretation of a plan document ( rather than a cursory glance at a plan document , as might be required here ) in order to resolve a rate of payment dispute is what would militate toward relation to defensive erisa preemption .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""past""","""none""","""no""","at all material times , uhc was in agreement with pmcs ( as uhcs affiliate and / or subcontractor and / or vendor and / or agent and / or the like ) to secure discounted rates from providers ( like scv ) , which were secured here in relation to scv.7 7again , a copy of the pertinent pages of the pmcs re - pricing contract that was procured on uhcs behalf ( along with the pmcs client list listing uhc ) is attached hereto as exhibit c. again , exhibit c is incorporated fully herein by reference .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""02/03/22""]","""past""","""none""","""no""","again , scv made clear its expectation that the claim would be priced pursuant to this pmcs contract / agreement that were brokered by uhc with pmcs being uhcs vendor , agent , or the like tasked with achieving discounted rates from case 6:22 - cv-00236 - wwb - ejk document 1 filed 02/03/22 page 10 of 31 pageid 10 11",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""present""","""none""","""no""","plaintiff , trachte building systems , inc . ( trachte ) brings this action against defendant sheet metal air , rail and transportation workers local 565 ( local 565 ) to vacate an arbitration award ( award ) and amended arbitration award ( amended award ) entered in smart local 565 v. trachte building systems , inc . , case i d trachte is an employer within the meaning of the lmra , 29 u.s.c . 152(2 ) , and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c . 152(6 ) and ( 7 ) .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple""","""no""","trachte is a wisconsin corporation engaged in the design , manufacture , and erection of durable , pre - engineered , and customized steel self - storage systems .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","its headquarters are located at 314 wilburn road , sun prairie , wisconsin , 53590 , and its operations include a production plant in sun prairie , wisconsin ( the sun prairie plant ) .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""01/11/24""]","""present""","""none""","""no""","case : 3:24 - cv-00018 document # : 1 filed : 01/11/24 page 1 of 6 2 13 , which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""December 1, 2023"", ""December 11, 2023""]","""past""","""n/a""","""no""","trachte received the award on december 1 , 2023 , and the amended award on december 11 ,",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",,"""past""","""engaged - past simple""","""no""","in february of 2023 , a union representative engaged in physically intimidating conduct with a hospital manager .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","in response to the incident , the hospital limited the union representatives access to the hospital .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none detected""","""no""",the union disputed this response .,,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Perfective Aspect""","""No""","rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure , the union engaged in a work stoppage that included approximately 100 employees .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",many of these employees were on - duty and ceased doing work during working hours .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 2023""]","""present perfect""","""perfect aspect (have engaged)""","""no""","in other instances , including as recently as march 2023 , union representatives and union employees have engaged in work stoppages and stormed meetings and offices .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",,"""past""","""none""","""no""","for example , on or about march 15 , 2023 , union representatives incited a work stoppage on the case 3:23 - cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours , rather than engage in the grievance and arbitration process as required by the contracts .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""",", "" the complaint attached as exhibit 1 on its face , or within its four corners , meets the good cause standard described above .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple aspect""","""no""","giving specific examples , the complaint sets out the spurious reasons for this repeated first - class air travel houston at iam expenses .",,,,,,,,
