1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,6. Events in direct speech,7. Events in indirect speech,11. Tense of the verbs,12. Aspectual markers,4. Events that are in a condition,"12. Aspectual markers of the verbs"": {""was"
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive (beginning)""","""no""","Time for their weekly challenge, he thought, beginning to jump. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He jumped fifty times before stopping. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""progressive aspect (is always crowded)""","""no""",The grocery store near Amy 's house is always crowded in the summer.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",The tourists came in droves and bought out all the condiments.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","Amy just wanted to buy some milk, but she got stuck in a long line. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",,"""no""","Every time she switched lines, they just got longer! ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers""","""no""","Finally, Amy decided to eat her cereal without milk instead.",,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past tense""",,"""yes""",John got a new cat and was worried how it would take to the old one.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He tried everything but the old cat would always act mean.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple aspect""","""No""",One day the old cat was stuck in a box and the young cat helped it.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect""","""no""",Ever since they became best friends.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific aspectual markers""","""no""","John was so happy with the result, he got another cat.",,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""going to (future marker)""","""yes""",Tommy promised me that he was going to draw a good sketch of me.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He took several minutes to write everything out.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""Simple""","""no""","When he was done with the outline, he showed it to me. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective (ended)""","""no""",It ended up being my face on top of a banana.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past Simple""","""Perfective Aspect""","""no""",I ripped the page and threw it away. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Cammie lost a $ 50 bill somewhere.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","She was so upset, she almost cried. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""the next day""]","""past""","""none""","""no""","Then, the next day, doing laundry, she found it! ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none (simple aspect)""","""no""","It was wet, wrinkled, and clean in the washer! ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Cammie was elated! ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Ellie wanted to go to the playground.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""no specific aspectual markers""","""no""",She asked her mom to take her.,,,,,,
"""no""","""no""","""yes""","""yes""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""yes""",Her mom promised that they could go if Ellie ate all her lunch.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Ellie diligently ate every bit of her soup and sandwich.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","And after lunch, she got to go play at the playground!",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Evan was nine but sometimes still wet the bed.,,,,,,
"""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Past Passive""","""No""",He was invited to a sleepover but afraid to attend.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He did not want anyone to discover his secret!,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple""","""No""",Then his mom bought him a pack of absorbent underwear to wear.,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple Aspect""","""No""",Evan felt much more secure with the backup underwear on! ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive (was walking)""","""no""",Gary was walking his dog on the sidewalk.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""The verb 'managed' shows a perfective aspect, indicating a completed action.""","""no""",The dog managed to break through the leash and ran away.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",It ran towards a crowded street with a traffic.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",A man hit the dog on the side while he was driving.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","Since he only felt a small thud, he did n't bother to stop.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Belle was at a party.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past tense""","""simple aspect""","""no""",And someone ordered pizza and tacos.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Belle ate three slices of pizza and a large taco.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",And she decided to get more food.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""began to stare: imperfective aspect, indicating ongoing action""","""no""","But as she approached the kitchen, people began to stare at her.",,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Griffin needed to write a book report for school.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He went to the library to find a book.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He found an interesting book about Abraham Lincoln.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""started (inceptive aspect)""","""no""","Griffin started to read the book, but fell asleep. ",,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific aspectual markers identified""","""no""","When he woke, Griffin decided to pick a different topic.",,,,,,
,,,,,,,,,,,,,I graduated college without job prospects.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""No overt aspectual markers""","""No""","Thankfully, my parents let me stay home until I found a job.",,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Modal verb ('could'), indicating ability""","""No""","Alas, I could not find a job after six months of searching.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",My parents understood and continued to let me live at their house.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past Simple""","""Simple Aspect""","""no""",I soon found a job and I thanked my parents for their support. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive (was taking)""","""no""",I was taking an art class with my friend.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","For our test, we had to each paint an apple. ",,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfect""","""no""",I had procrastinated until the night before it was due.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past perfect""","""perfect aspect""","""no""",My friend had been working on her painting all week.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Perfect aspect ('turned out')""","""No""",I was pleased that my picture turned out better than my friend 's. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Henry had several seconds to shoot the ball.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",He could n't get through the double team so he ran through them.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He got fouled by one of the opponents but ended up throwing the ball.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple""","""No""",The ball landed into the hoop.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",His team ran towards him to congratulate him. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""simple""]","""no""",Corey went to see a movie at the theatre.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",The movie began playing.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple aspect""","""No""","Ten minutes into the movie, the film malfunctioned. ",,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Everyone was given their money back.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""simple past""","""none""","""no""",Corey returned to the movies the next week. ,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple Aspect""","""No""",Sue got in her car and frowned at how filthy the window was.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""past perfective""","""no""",Her dog 's nose had made quite a mess of the glass.,,,,,,
"""no""","""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfect""","""no""",She wondered if he had worked hard to create that window art for her.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Sue sort of felt bad as she cleaned it away.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""the next day""]","""past""","""simple aspect""","""no""","The next day, her dog created a new masterpiece on the window.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""none""","""no""",I was so nervous for my first day of school.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past tense""","""Continuous aspect ('was shaking')""","""No""","When I arrived at my first class, I was shaking. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",I sat next the prettiest girl in class.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",We talked the whole time during and after class.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","We became best friends, and she made college so much easier!  ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",Mikey was eating out with his family.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""",His mom complained that her meat was undercooked.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple past""","""no""","Mikey tried to stop her, but she began berating the waiter.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Other people noticed and scolded her.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple past aspect""","""no""",It became such a mess Mikey decided to leave. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past continuous""","""progressive""","""no""",Kay was attending a self empowerment seminar.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""past""]","""no""",She was excited as the first presenter was her favorite author.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""simple""]","""no""","She sat through the opening session, rapt with attention. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""","By the end of the day, her head was full of great ideas. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""yes""",She went back to her hotel room to rest for the next day 's conference. ,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""",Hocus Pocus found the dusty Diary.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Inside were a string of numbers.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",He thought they were lottery numbers.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",He bet on them.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""None""","""No""",They were milk production weights for a cow. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","One day, Ernie went on a walk in the park. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""simple (walked)"", ""simple (saw)""]","""no""",Ernie walked by the tennis courts and saw two beautiful women playing.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""past perfect in 'had played', simple past in 'decided'""","""no""","He had never played tennis before, but he decided to learn. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",[],"""no""","The next day he went to the park, and the ladies were there again. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","They invited him to join them, and eventually one became his wife.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive (was watching)""","""no""",Nicole was watching a movie on her iPad.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",She heard a noise in the other end of the house.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""simple past""]","""no""","She got up to check, and fell. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","After picking up the iPad, Nicole realized the screen was cracked. ",,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple aspect""","""No""",She decided to take it to the store and see if it could be fixed. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Hannah decided to go for a walk.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""simple past"", ""past progressive""]","""no""",She was far away from home when it suddenly started raining.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Hannah ran home as fast as she could.,,,,,,
"""No""","""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past tense""","""No specific aspectual markers identified""","""No""",When she arrived home she was soaked and freezing.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""future aspect ('would always check')""","""yes""",Hannah decided she would always check the weather from now on. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Tom got a new cat.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Within a week it was lost.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Tom looked around a bit for it but did n't find it.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Tom decided to get a dog instead.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Eventually the cat returned and Tom gave it away. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",My boss pulled me aside at work.,,,,,,
"""no""","""no""","""yes""","""no""","""yes""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive""","""yes""",I thought he was going to tell me Happy Birthday.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""none""","""no""","Instead, he told me I was n't needed today.",,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""Progressive ('was getting')""","""yes""","I sulked home, not sure whether I was getting fired or not.",,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","When I arrived home, I walked into a surprise birthday party! ",,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","[""16 today""]","""Past Continuous""","""Progressive""","""No""",Brenda was excited to be turning 16 today.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","[""Simple""]","""No""","After breakfast, she drove with her mother to the DMV office.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",She found the the written test to be very easy for her.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect (watched, added)""","""no""",After the driving test she watched as the tester added up her score.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",That night Brenda proudly drove alone to visit with her friends. ,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple aspect""","""No""",Lagertha did n't like being told what to do.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple""","""no""",Her mother told her to clean her room.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","Lagertha refused, and went outside to play with her friends. ",,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific aspectual markers""","""no""","When she returned at dusk, there was candy and roast lamb to eat. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""","Her mother forbid her to have any though, and sent her to her room.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""simple past""","""none""","""no""",The door closed too hard.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",A lamp fell down.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",It broke into small shards.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",A man stepped on the lamp.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",The lamp punctured his flesh. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Bill loved to play in the forest.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","One day, while playing a game, bill got himself lost. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",He walked around the forest for hours.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","Finally, his mother came into the forest and brought bill back home. ",,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple""","""No""",Bill was happy to be home with his mother! ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","One day, Ernie went on a walk in the park. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Ernie walked by the tennis courts and saw two beautiful women playing.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""past perfect ('had played')"", ""simple past ('decided')""]","""no""","He had never played tennis before, but he decided to learn. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""the next day""]","""past""","""simple aspect""","""no""","The next day he went to the park, and the ladies were there again. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","They invited him to join them, and eventually one became his wife.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",Gary was walking his dog on the sidewalk.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",,"""no""",The dog managed to break through the leash and ran away.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""none""]","""no""",It ran towards a crowded street with a traffic.,,,,,,
"""No""","""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Progressive (was driving)""","""No""",A man hit the dog on the side while he was driving.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","Since he only felt a small thud, he did n't bother to stop.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past continuous""","""progressive (was talking)""","""no""",I was talking to my neighbor this morning.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""present""","""progressive""","""no""",He said that there is a loose cat going around the neighborhood.,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""Past Tense""","""none""","""no""","I told him that I thought I saw it, also. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""Simple""","""no""","When I went back inside, I heard a small   meow  . ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past Perfect Progressive, Past Simple""","""Perfect, Progressive""","""no""",The cat had been following me and got inside my house. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Ellen 's nephew was selling raffle tickets.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Ellen decided to buy tickets.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Someone from the fundraiser called Ellen.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past perfect""","""perfect aspect (had won)""","""no""",She had won a prize of five hundred dollars!,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Ellen drove to town to pick up her cash prize. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Eva poured herself a bowl of cereal.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",She went to get milk.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","""No""","""No""",[],"""Past""","""Progressive (were out)""","""No""",They were out of regular milk!,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Only soy milk was left.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Eva tried it and liked it. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""progressive""","""no""",I was sitting in class falling asleep.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","Suddenly, the teacher asked me a question. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",I sat there speechless.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",I randomly told the teacher that two was the answer.,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","[""Simple""]","""no""","Surprisingly, I was completely right.",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Jim needed to take a shower.,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past tense""","""Simple aspect""","""No""",But his shower drain was clogged.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no clear aspectual markers, but 'had no time' implies a limitation on duration""","""no""",He had no time to fix it.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",And he rushed to school.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""That day""]","""past""","""none""","""no""","That day, everyone avoided Jim. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Jen walked out of the mall only to find her car was gone.,,,,,,
